ADMIN0,date,CS_1,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Ethiopia,2009-07-01,29237414.0,13622683.0,36124220.0,2241776.25,3756966.75,29176922.0,12998464.0,36035216.0,3015476.25,3756966.75,29056276.0,42311136.0,7538413.5,2241776.25,3835346.5,0,0.0,0.0,81226093.25,84983060.0,81226078.25,84983045.0,81147601.75,84982948.25,35.99510062611561,16.77131381669646,44.473664255666996,2.7599213015209245,0.0,38365996.25,47.23358555718793,2241776.25,2.7599213015209245,42860097.0,52.76641444281207,35.920633654376886,16.00282111367355,44.364096822562026,3.712448409387536,0.0,39050692.25,48.07654523194957,3015476.25,3.712448409387536,42175386.0,51.92345476805043,35.80669714616674,52.14095683363803,9.289755134383867,2.7625908858113606,0.0,9780189.75,12.052346020195232,2241776.25,2.7625908858113606,71367412.0,87.94765397980477,-35.1812395369927,0.8429596747616372,Jul - Sep 2009,Oct - Dec 2009
Ethiopia,2009-10-01,29176934.0,12998464.0,36043444.0,3013529.0,3750690.0,29540028.0,46481268.0,5211070.5,9.826386451721193,3750690.0,29774746.0,42848748.0,8608872.0,9.826386451721193,3750690.0,0,0.0,0.0,81232371.0,84983061.0,81232376.32638645,84983066.32638645,81232375.82638645,84983065.82638645,35.917865797614105,16.001581438512982,44.37078907865437,3.709763685218544,0.0,39056973.0,48.080552763872916,3013529.0,3.709763685218544,42175398.0,51.91944723612709,36.36484531895272,57.220125893204525,6.4150166912048165,1.2096637936873107e-05,0.0,5211080.326386452,6.415028787842753,9.826386451721193,1.2096637936873107e-05,76021296.0,93.58497121215728,36.65379191128911,52.748362415963676,10.597833576109203,1.2096638011330107e-05,0.0,8608881.826386452,10.597845672747216,9.826386451721193,1.2096638011330107e-05,72623494.0,89.40215432725279,-37.482707091125704,-41.66552397603017,Oct - Dec 2009,Jan - Mar 2010
Ethiopia,2010-01-01,30390338.0,44360052.0,8794856.0,9.052535057067873,3833639.25,29864916.0,27267834.0,22852660.0,3559837.75,3833639.25,29568752.0,16962168.0,25341716.0,11672503.0,3833639.25,0,0.0,0.0,83545255.05253506,87378894.30253506,83545247.75,87378887.0,83545139.0,87378778.25,36.375899482130855,53.097033424705494,10.52705625767688,1.08354867686686e-05,0.0,8794865.052535057,10.527067093163648,9.052535057067873,1.08354867686686e-05,74750390.0,89.47293290683632,35.74699555547131,32.63840222438026,27.35363245122461,4.26096976892381,0.0,26412497.75,31.614602220148424,3559837.75,4.26096976892381,57132750.0,68.38539777985157,35.392546297636784,20.30299811937592,30.3329628789055,13.9714927040818,0.0,37014219.0,44.3044555829873,11672503.0,13.9714927040818,46530920.0,55.6955444170127,33.77738848982364,21.087535126984765,Jan - Mar 2010,Apr - Jun 2010
Ethiopia,2010-04-01,32464608.0,28965454.0,20180056.0,1936383.75,3833639.25,32464292.0,28968786.0,20177042.0,1936383.75,3833639.25,32464150.0,24327932.0,24818068.0,1936383.75,3833639.25,0,0.0,0.0,83546501.75,87380141.0,83546503.75,87380143.0,83546533.75,87380173.0,38.85812968823677,34.66985857370145,24.154280044406534,2.3177316936552645,0.0,22116439.75,26.47201173806179,1936383.75,2.3177316936552645,61430062.0,73.5279882619382,38.85775052555685,34.67384594175791,24.150671894513607,2.317731638171633,0.0,22113425.75,26.468403532685233,1936383.75,2.317731638171633,61433078.0,73.53159646731477,38.85756660730404,29.11902015324484,29.705682433533635,2.3177308059174866,0.0,26754451.75,32.02341323945112,1936383.75,2.3177308059174866,56792082.0,67.97658676054887,5.551401501389332,-0.003608205376561813,Apr - Jun 2010,Jul - Sep 2010
Ethiopia,2010-07-01,30792278.0,30194304.0,22903688.0,79.521484375,3494407.75,30792238.0,30194338.0,22903688.0,79.521484375,3494407.75,31949490.0,44699044.0,7407394.0,9.052535057067873,3328844.75,0,0.0,0.0,83890349.52148438,87384757.27148438,83890343.52148438,87384751.27148438,84055937.05253506,87384781.80253506,36.70538765858173,35.992583380841936,27.30193416840438,9.479217195850936e-05,0.0,22903767.52148437,27.30202896057633,79.521484375,9.479217195850936e-05,60986582.0,72.69797103942366,36.7053426025298,35.99262648419983,27.301936121091643,9.479217873822926e-05,0.0,22903767.52148437,27.30203091327037,79.521484375,9.479217873822926e-05,60986576.0,72.69796908672963,38.00979576259025,53.17773564532753,8.812457822426477,1.0769655748897341e-05,0.0,7407403.052535057,8.812468592082226,9.052535057067873,1.0769655748897341e-05,76648534.0,91.18753140791776,-18.48956036849411,1.952694038465097e-06,Jul - Sep 2010,Oct - Dec 2010
Ethiopia,2010-10-01,30791442.0,30194316.0,22901306.0,9.052535057067873,3497908.0,31830756.0,46596640.0,5782695.5,0.0,3174668.0,31827582.0,40875796.0,11503425.0,9.052535057067873,3178168.25,0,0.0,0.0,83887073.05253506,87384981.05253506,84210091.5,87384759.5,84206812.05253506,87384980.30253506,36.70582472309717,35.99400348739135,27.300160998176487,1.0791334978869317e-05,0.0,22901315.05253505,27.30017178951148,9.052535057067873,1.0791334978869317e-05,60985758.0,72.69982821048853,37.7992179238993,55.33379571259579,6.8669863635049015,0.0,0.0,5782695.5,6.8669863635049015,0.0,0.0,78427396.0,93.1330136364951,37.796920729101316,48.54214879254466,13.660919727994484,1.0750359545045075e-05,0.0,11503434.052535055,13.660930478354027,9.052535057067873,1.0750359545045075e-05,72703378.0,86.33906952164597,-13.639241311157448,-20.433185426006574,Oct - Dec 2010,Jan - Mar 2011
Ethiopia,2011-01-01,31807264.0,44794964.0,10043157.0,9.367188453674316,3244056.25,31807264.0,44754684.0,10083437.0,0.0,3244056.25,31279548.0,43006832.0,10076664.0,2282347.5,3244056.25,0,0.0,0.0,86645394.36718845,89889450.61718845,86645385.0,89889441.25,86645391.5,89889447.75,36.70969961219892,51.699186468199976,11.591103108653192,1.0810947912566203e-05,0.0,10043166.367188454,11.591113919601106,9.367188453674316,1.0810947912566203e-05,76602228.0,88.4088860803989,36.70970358086585,51.652703718726606,11.637592700407527,0.0,0.0,10083437.0,11.637592700407527,0.0,0.0,76561948.0,88.36240729959248,36.10064823816971,49.63545233678124,11.62977490845546,2.634124516593592,0.0,12359011.5,14.26389942504905,2282347.5,2.634124516593592,74286380.0,85.73610057495095,2.672785505447944,0.04647878080642265,Jan - Mar 2011,Apr - Jun 2011
Ethiopia,2011-04-01,27442772.0,35934692.0,20751812.0,2282356.75,3477799.25,27440540.0,35935472.0,20753416.0,2282347.5,3477799.25,27902550.0,28280258.0,27941918.0,2287039.0,3477799.25,0,0.0,0.0,86411632.75,89889432.0,86411775.5,89889574.75,86411765.0,89889564.25,31.758191723324426,41.58547970498798,24.01506757780827,2.6412609938793223,0.0,23034168.75,26.656328571687588,2282356.75,2.6412609938793223,63377464.0,73.3436714283124,31.75555627832228,41.58631366161433,24.016884134037962,2.641245926025441,0.0,23035763.5,26.6581300600634,2282347.5,2.641245926025441,63376012.0,73.34186993993659,32.2902211290326,32.727323646265056,32.335779740177735,2.64667548452459,0.0,30228957.0,34.98245522470233,2287039.0,2.64667548452459,56182808.0,65.01754477529767,8.32612665301474,0.0018014883758112887,Apr - Jun 2011,Jul - Sep 2011
Ethiopia,2011-07-01,27415908.0,26337216.0,29872246.0,2786403.0,3477799.25,27416026.0,26335730.0,29869144.0,2790863.0,3477799.25,27638510.0,50390124.0,8262478.5,9.367189407348633,3598450.0,0,0.0,0.0,86411773.0,89889572.25,86411763.0,89889562.25,86291121.8671894,89889571.8671894,31.727051821978012,30.478735808371855,34.569648281606256,3.2245640880438824,0.0,32658649.0,37.79421236965014,2786403.0,3.2245640880438824,53753124.0,62.20578763034985,31.727192049073228,30.47701966224205,34.56606249313534,3.229725795549386,0.0,32660007.0,37.795788288684726,2790863.0,3.229725795549386,53751756.0,62.20421171131528,32.02937845974283,58.39549064798971,9.575120036933548,1.0855333903023844e-05,0.0,8262487.867189407,9.575130892267447,9.367189407348633,1.0855333903023844e-05,78028634.0,90.42486910773256,-28.219081477382694,0.001575919034586093,Jul - Sep 2011,Oct - Dec 2011
Ethiopia,2011-10-01,38948408.0,38700772.0,5398755.5,2976543.5,3865085.5,38836964.0,39152300.0,8035221.0,0.0,3865085.5,38188284.0,30556920.0,14385904.0,2893390.5,3865085.5,0,0.0,0.0,86024479.0,89889564.5,86024485.0,89889570.5,86024498.5,89889584.0,45.27595918366446,44.98809228475536,6.275836323286537,3.460112208293642,0.0,8375299.0,9.73594853158018,2976543.5,3.460112208293642,77649180.0,90.26405146841982,45.14640686311578,45.51297226597754,9.340620870906696,0.0,0.0,8035221.0,9.340620870906696,0.0,0.0,77989264.0,90.65937912909331,44.392335515911206,35.52118353819871,16.723031521073032,3.3634494248170483,0.0,17279294.5,20.086480945890084,2893390.5,3.3634494248170483,68745204.0,79.91351905410991,10.350532414309905,-0.3953276606734839,Oct - Dec 2011,Jan - Mar 2012
